Wave-B2 Step 1 batch root: /home/kev/argus/raw/vendor_docs/20260505T143454Z
Hard cap: 120 HTTP calls (88 base + 35 recovery)
User-Agent: ArgusSourceWorker/0.1 (Phase4 Wave B2 Step 1 corpus fetch; +https://github.com/argus-project)

=== ROBOTS RE-CHECK (7 NEW hosts) ===
  [ 42/120] product_usb_rubber  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/usb-rubber-ducky
  [ 43/120] product_cloud_c2    None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/cloud-c2
  [ 44/120] product_lan_turtle  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/lan-turtle
  [ 45/120] product_packet_squ  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/packet-squirrel
  [ 46/120] product_key_croc    None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/key-croc
  [ 47/120] product_shark_jack  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/shark-jack
  [ 48/120] product_screen_cra  None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/screen-crab
  [ 49/120] product_omg_cable   None          0B  e3b0c44298fc1c14  https://web.archive.org/web/2024/https://docs.hak5.org/omg-cable

=== COHORT 4: Cradlepoint Customer KB Wayback ===
  [ 50/120] cdx_search          None          0B  e3b0c44298fc1c14  https://web.archive.org/cdx/search/cdx?url=customer.cradlepoint.com/s/article*&matchType=p

=== COHORT 5: FCC per-FCC-ID per-document PDFs (17 grantees) ===
  [ 51/120] landing_YJJ          200       6058B  05ca5f82111fb387  https://fcc.report/FCC-ID/YJJ/
  [ 52/120] landing_2AGVG        200       6074B  065cc02cfd67d8a4  https://fcc.report/FCC-ID/2AGVG/
  [ 53/120] landing_UXX          200      20671B  bcf08fbafd3d437f  https://fcc.report/FCC-ID/UXX/
  [ 54/120] landing_2ATQR        200       7057B  d9a5c685484dc1eb  https://fcc.report/FCC-ID/2ATQR/
  [ 55/120] landing_TWV          200       8467B  9c8060e3ceca4701  https://fcc.report/FCC-ID/TWV/
  [ 56/120] landing_NCV          200       5805B  20853ab30e7c7280  https://fcc.report/FCC-ID/NCV/
  [ 57/120] landing_2ANC5        200       6118B  5f06a6f449a387e9  https://fcc.report/FCC-ID/2ANC5/
  [ 58/120] landing_2AL26        200       9117B  546eb3e9db7edcc1  https://fcc.report/FCC-ID/2AL26/
  [ 59/120] landing_YJV          200       8973B  bb316675df12c339  https://fcc.report/FCC-ID/YJV/
  [ 60/120] landing_QYL          200      82713B  22f8e8c79950f9ac  https://fcc.report/FCC-ID/QYL/
  [ 61/120] landing_MAU          200      82713B  75155184afbd60cc  https://fcc.report/FCC-ID/MAU/
  [ 62/120] landing_2AS9X        200       6074B  2a2ed70efff39a6e  https://fcc.report/FCC-ID/2AS9X/
  [ 63/120] landing_2AS9W        200       6074B  57cbccd2a7a09c4a  https://fcc.report/FCC-ID/2AS9W/
  [ 64/120] landing_2AS9V        200       6074B  978edc6d51555b8e  https://fcc.report/FCC-ID/2AS9V/
  [ 65/120] landing_2AG6I        200      11404B  7ba63c1b029298d5  https://fcc.report/FCC-ID/2AG6I/
  [ 66/120] landing_WLI          200       5853B  aa06ce521b6a9d84  https://fcc.report/FCC-ID/WLI/
  [ 67/120] landing_2AO3N        200       9185B  55fbc805385846d3  https://fcc.report/FCC-ID/2AO3N/

=== COHORT 6: DJI SDK developer portal (5 URLs) ===
  [ 68/120] onboard_sdk_index    200      13472B  873ffb3b39b42024  https://developer.dji.com/document/29c6a5f7-32d8-46b2-bd72-79b3c8fa7da5
  [ 69/120] mobile_sdk_landing   200      24039B  7569c04afe01cef2  https://developer.dji.com/mobile-sdk
  [ 70/120] onboard_sdk_landin   200      24691B  604b65e8e295d1fe  https://developer.dji.com/onboard-sdk
  [ 71/120] psdk_landing         200      21176B  ef74ac47f5115c7b  https://developer.dji.com/payload-sdk
  [ 72/120] udp_protocol_landi   404      12854B  da81be1c2b4f366e  https://developer.dji.com/udp-protocol

Manifest written: /home/kev/argus/raw/vendor_docs/20260505T143454Z/_manifest.json
Aggregate: calls=72/120, wall=223.1s
